26
4 70
176 467
150 220
181 310
181 516
203 213
206 425
268 310
242 482
361 379
330 263
382 311
373 333
467 525
442 115
401 94
445 346
530 477
563 208
585 426
582 469
689 141
600 70
633 138
693 151
782 114
1 0 543.6
2 0 317.7
3 0 553.5
4 0 689.9
4 1 60.6
5 3 170.8
6 2 272.2
6 3 131.9
6 4 166.7
6 5 366.8
7 1 319.8
7 5 224.5
7 6 238.4
8 1 99.8
8 4 88.4
9 8 282.5
10 7 79.8
10 9 162.9
11 6 262.5
11 8 289.2
11 10 116.0
12 5 320.2
13 11 458.0
14 10 221.6
15 9 356.4
15 10 244.0
15 11 328.8
15 14 77.1
16 12 93.0
16 13 253.2
17 15 490.8
18 13 646.1
19 16 174.7
19 17 129.0
20 14 504.4
20 15 604.7
20 18 493.7
21 19 576.9
22 17 589.7
22 18 224.1
22 21 132.1
23 17 687.1
23 20 361.2
23 22 145.7
24 18 190.4
24 19 435.9
24 20 562.7
24 21 16.3
24 23 103.6
25 21 173.2
25 22 269.0
25 23 285.7
25 24 108.4
